l   t4  t5  t6  t7  t8  t9  t10								
0	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	
0.001	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	
0.002	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	3.948e-286	
0.003	0.000e+00	0.000e+00	0.000e+00	4.164e-272	7.559e-235	7.205e-206	1.099e-182	
0.004	0.000e+00	1.234e-287	1.794e-235	3.256e-198	2.864e-170	1.554e-148	3.792e-131	
0.005	4.043e-288	1.591e-225	8.546e-184	5.482e-154	1.243e-131	3.033e-114	2.465e-100	
0.006	2.362e-236	3.434e-184	2.046e-149	1.413e-124	6.021e-106	1.859e-91	7.260e-80	
0.007	1.984e-199	1.019e-154	6.538e-125	1.277e-103	1.187e-87	3.119e-75	2.690e-65	
0.008	8.949e-172	1.185e-132	1.429e-106	6.088e-88	5.709e-74	4.205e-63	2.077e-54	
0.009	2.694e-150	1.605e-115	2.448e-92	8.879e-76	2.333e-63	1.066e-53	5.695e-46	
0.010	3.883e-133	7.703e-102	5.645e-81	4.521e-66	6.807e-55	3.363e-46	3.032e-39	
0.011	4.058e-119	1.150e-90	1.069e-71	3.780e-58	5.484e-48	4.390e-40	9.231e-34	
0.012	1.882e-107	2.269e-81	5.537e-64	1.455e-51	3.004e-42	5.278e-35	3.299e-29	
0.013	1.355e-97	1.611e-73	1.807e-57	5.264e-46	2.087e-37	1.016e-30	2.275e-25	
0.014	3.709e-89	8.407e-67	6.733e-52	2.976e-41	2.869e-33	4.651e-27	4.319e-22	
0.015	7.434e-82	5.448e-61	4.429e-47	3.819e-37	1.081e-29	6.755e-24	2.926e-19	
0.016	1.784e-75	6.492e-56	7.129e-43	1.471e-33	1.425e-26	3.867e-21	8.596e-17	
0.017	7.464e-70	1.920e-51	3.604e-39	2.107e-30	7.921e-24	1.030e-18	1.270e-14	
0.018	7.292e-65	1.780e-47	6.951e-36	1.324e-27	2.146e-21	1.450e-16	1.060e-12	
0.019	2.095e-60	6.216e-44	5.958e-33	4.160e-25	3.177e-19	1.196e-14	5.473e-11	
0.020	2.127e-56	9.475e-41	2.565e-30	7.259e-23	2.817e-17	6.260e-13	1.880e-09	
0.021	8.867e-53	7.102e-38	6.125e-28	7.656e-21	1.610e-15	2.221e-11	4.555e-08	
0.022	1.714e-49	2.885e-35	8.794e-26	5.230e-19	6.299e-14	5.637e-10	8.173e-07	
0.023	1.698e-46	6.881e-33	8.117e-24	2.450e-17	1.775e-12	1.069e-08	1.130e-05	
0.024	9.388e-44	1.031e-30	5.093e-22	8.256e-16	3.751e-11	1.572e-07	1.243e-04	
0.025	3.105e-41	1.026e-28	2.275e-20	2.082e-14	6.160e-10	1.850e-06	1.120e-03	
0.026	6.522e-39	7.110e-27	7.532e-19	4.065e-13	8.094e-09	1.786e-05	8.451e-03	
0.027	9.153e-37	3.575e-25	1.910e-17	6.323e-12	8.725e-08	1.448e-04	5.453e-02	
0.028	8.965e-35	1.350e-23	3.820e-16	8.031e-11	7.885e-07	1.004e-03	3.059e-01	
0.029	6.361e-33	3.943e-22	6.175e-15	8.507e-10	6.084e-06	6.054e-03	1.515e+00	
0.030	3.378e-31	9.144e-21	8.244e-14	7.656e-09	4.073e-05	3.220e-02	6.701e+00	
0.031	1.381e-29	1.722e-19	9.262e-13	5.947e-08	2.399e-04	1.529e-01	2.679e+01	
0.032	4.453e-28	2.686e-18	8.901e-12	4.044e-07	1.258e-03	6.556e-01	9.774e+01	
0.033	1.158e-26	3.530e-17	7.423e-11	2.437e-06	5.942e-03	2.561e+00	3.281e+02	
0.034	2.475e-25	3.970e-16	5.439e-10	1.315e-05	2.550e-02	9.194e+00	1.021e+03	
0.035	4.423e-24	3.871e-15	3.542e-09	6.419e-05	1.002e-01	3.055e+01	2.966e+03	
0.036	6.706e-23	3.313e-14	2.071e-08	2.857e-04	3.638e-01	9.458e+01	8.086e+03	
0.037	8.746e-22	2.515e-13	1.096e-07	1.169e-03	1.227e+00	2.745e+02	2.081e+04	
0.038	9.929e-21	1.710e-12	5.295e-07	4.425e-03	3.867e+00	7.503e+02	5.076e+04	
0.039	9.918e-20	1.051e-11	2.352e-06	1.559e-02	1.145e+01	1.941e+03	1.179e+05	
0.040	8.802e-19	5.874e-11	9.665e-06	5.142e-02	3.203e+01	4.775e+03	2.617e+05	
0.041	7.001e-18	3.011e-10	3.696e-05	1.595e-01	8.492e+01	1.121e+04	5.569e+05	
0.042	5.030e-17	1.424e-09	1.322e-04	4.674e-01	2.143e+02	2.518e+04	1.140e+06	
0.043	3.288e-16	6.244e-09	4.444e-04	1.299e+00	5.167e+02	5.433e+04	2.251e+06	
0.044	1.969e-15	2.554e-08	1.410e-03	3.439e+00	1.194e+03	1.129e+05	4.299e+06	
0.045	1.086e-14	9.788e-08	4.240e-03	8.695e+00	2.650e+03	2.265e+05	7.956e+06	
0.046	5.546e-14	3.530e-07	1.212e-02	2.106e+01	5.669e+03	4.400e+05	1.430e+07	
0.047	2.637e-13	1.203e-06	3.307e-02	4.903e+01	1.171e+04	8.287e+05	2.501e+07	
0.048	1.172e-12	3.884e-06	8.633e-02	1.099e+02	2.343e+04	1.517e+06	4.265e+07	
0.049	4.893e-12	1.193e-05	2.163e-01	2.380e+02	4.547e+04	2.703e+06	7.101e+07	
0.050	1.925e-11	3.499e-05	5.211e-01	4.985e+02	8.574e+04	4.698e+06	1.156e+08	
0.051	7.163e-11	9.814e-05	1.211e+00	1.012e+03	1.574e+05	7.974e+06	1.842e+08	
0.052	2.529e-10	2.641e-04	2.718e+00	1.997e+03	2.818e+05	1.324e+07	2.879e+08	
0.053	8.500e-10	6.833e-04	5.908e+00	3.832e+03	4.925e+05	2.152e+07	4.416e+08	
0.054	2.727e-09	1.704e-03	1.246e+01	7.166e+03	8.418e+05	3.429e+07	6.655e+08	
